2021-01-15,04:05:07 31.5 13.0 31.0
2021-01-15,04:10:20 31.5 14.0 32.0
2021-01-15,04:15:09 31.5 14.0 32.0
2021-01-15,04:20:08 32.6 14.0 32.0
2021-01-15,04:25:12 31.5 14.0 32.0
2021-01-15,04:30:19 31.5 14.0 32.0
2021-01-15,04:35:10 31.5 14.0 32.0
2021-01-15,04:40:09 31.5 14.0 32.0
2021-01-15,04:45:10 31.5 13.0 31.0
2021-01-15,04:50:12 31.5 14.0 31.0
2021-01-15,04:55:07 31.5 14.0 32.0
2021-01-15,05:00:08 31.5 14.0 32.0
2021-01-15,05:05:07 31.5 14.0 32.0
2021-01-15,05:10:08 31.5 13.0 31.0
2021-01-15,05:15:08 31.5 13.0 32.0
2021-01-15,05:20:06 31.5 13.0 31.0
2021-01-15,05:25:08 31.5 13.0 31.0
2021-01-15,05:30:09 31.5 13.0 32.0
2021-01-15,05:35:07 32.0 13.0 32.0
2021-01-15,05:40:07 31.5 13.0 31.0
2021-01-15,05:45:12 31.5 13.0 32.0
2021-01-15,05:50:08 31.5 13.0 32.0
2021-01-15,05:55:12 31.5 13.0 32.0
2021-01-15,06:00:07 32.0 13.0 31.0
2021-01-15,06:05:07 31.5 13.0 31.0
2021-01-15,06:10:06 31.5 13.0 32.0
2021-01-15,06:15:08 31.5 13.0 32.0
2021-01-15,06:20:07 31.5 13.0 31.0
2021-01-15,06:25:12 32.0 13.0 32.0
2021-01-15,06:30:11 31.5 13.0 32.0
2021-01-15,06:35:07 31.5 13.0 32.0
2021-01-15,06:40:08 31.5 13.0 31.0
2021-01-15,06:45:17 30.9 13.0 32.0
2021-01-15,06:50:06 31.5 13.0 32.0
2021-01-15,06:55:07 31.5 13.0 32.0
2021-01-15,07:00:06 31.5 13.0 32.0
2021-01-15,07:05:10 31.5 13.0 31.0
2021-01-15,07:10:07 31.5 13.0 32.0
2021-01-15,07:15:07 31.5 13.0 31.0
2021-01-15,07:20:08 32.0 13.0 32.0
2021-01-15,07:25:07 31.5 13.0 31.0
2021-01-15,07:30:08 31.5 13.0 32.0
2021-01-15,07:35:07 32.0 13.0 32.0
2021-01-15,07:40:07 31.5 13.0 31.0
2021-01-15,07:45:08 31.5 13.0 31.0
2021-01-15,07:50:12 30.9 14.0 32.0
2021-01-15,07:55:08 31.5 13.0 31.0
2021-01-15,08:00:07 31.5 13.0 31.0
2021-01-15,08:05:10 31.5 14.0 32.0
2021-01-15,08:10:15 31.5 14.0 32.0
2021-01-15,08:15:07 30.9 14.0 32.0
2021-01-15,08:20:07 31.5 14.0 32.0
2021-01-15,08:25:06 31.5 14.0 32.0
2021-01-15,08:30:09 31.5 14.0 31.0
2021-01-15,08:35:07 31.5 14.0 32.0
2021-01-15,08:40:07 31.5 14.0 32.0
2021-01-15,08:45:08 31.5 14.0 32.0
2021-01-15,08:50:07 31.5 14.0 32.0
2021-01-15,08:55:08 32.0 14.0 32.0
2021-01-15,09:00:08 32.0 14.0 32.0
2021-01-15,09:05:09 31.5 14.0 31.0
2021-01-15,09:10:10 31.5 14.0 32.0
2021-01-15,09:15:09 31.5 14.0 32.0
2021-01-15,09:20:07 31.5 14.0 32.0
2021-01-15,09:25:07 31.5 14.0 32.0
2021-01-15,09:30:08 32.6 14.0 32.0
2021-01-15,09:35:11 32.0 15.0 31.0
2021-01-15,09:40:07 31.5 14.0 31.0
2021-01-15,09:45:07 31.5 15.0 31.0
2021-01-15,09:50:07 31.5 15.0 31.0
2021-01-15,09:55:06 31.5 15.0 31.0
2021-01-15,10:00:07 32.6 16.0 31.0
2021-01-15,10:05:07 33.1 16.0 31.0
2021-01-15,10:10:07 33.1 17.0 31.0
2021-01-15,10:15:08 33.6 17.0 31.0
2021-01-15,10:20:06 33.6 17.0 31.0
2021-01-15,10:25:10 33.6 18.0 30.0
